timestampMicros,bpm,envelopePeak,sceneId
8112718,67,0.907553,Idle
8366485,67,0.903221,Idle
8620204,79.3555,0.90161,Idle
8873190,79.3555,0.865065,Idle
9126606,79.3555,0.853239,Idle
9380339,79.3555,0.833624,Idle
9633590,79.3555,0.920246,Idle
9887078,79.3555,0.829133,Idle
10140504,57.3849,0.991455,Idle
10393572,57.3849,0.816359,Idle
10647126,91.4639,0.848766,Idle
10901491,91.4639,0.858083,Idle
11154745,91.4639,0.828264,Idle
11407916,69.7474,0.913803,Idle
11660721,69.7474,0.941009,Idle
11914600,69.7474,0.85149,Idle
12168005,69.7474,0.865447,Idle
12421054,69.7474,0.873217,Idle
12674821,69.7474,0.9308,Idle
12927827,69.7474,0.84646,Idle
13181314,69.7474,0.832911,Idle
13434824,69.7474,0.922177,Idle
13688588,69.7474,0.944176,Idle
13941529,62.0998,0.906478,Idle
14196462,69.7474,0.910891,Idle
14451863,67,0.911559,Idle
14704724,67,0.904487,Idle
14958406,67,0.827266,Idle
15212617,67,0.837066,Idle
15464750,67,0.829111,Idle
15715870,67,0.901513,Idle
15969409,67,0.828829,Idle
16222427,67,0.907381,Idle
16475804,67,0.893785,Idle
16729221,67,0.823748,Idle
16982644,67,0.918113,Idle
17237004,67,0.872233,Idle
17489640,67,0.91032,Idle
17743027,67,0.921622,Idle
17996342,67,0.894394,Idle
18249653,67,0.854146,Idle
18503793,67,0.854146,Idle
18757342,67,0.854146,Idle
19010077,67,0.854146,Idle
19263560,67,0.854146,Idle
19517142,67,0.854146,Idle
19770421,67,0.854146,Idle
20023861,67,0.854146,Idle
20277185,67,0.854146,Idle
20530670,67,0.854146,Idle
20784364,67,0.854146,Idle
21037444,67,0.854146,Idle
21290935,67,0.854146,Idle
21544656,67,0.854146,Idle
21797998,67,0.854146,Idle
22051153,67,0.854146,Idle
22304842,67,0.854146,Idle
22558607,67,0.854146,Idle
22811603,67,0.854146,Idle
23064866,67,0.854146,Idle
23318531,67,0.854146,Idle
23571898,67,0.854146,Idle
23825136,67,0.854146,Idle
24078907,67,0.854146,Idle
24332284,67,0.854146,Idle
24585444,67,0.854146,Idle
24838833,67,0.854146,Idle
25092362,67,0.854146,Idle
25345737,67,0.854146,Idle
25599089,67,0.854146,Idle
25852529,67,0.854146,Idle
26106265,67,0.854146,Idle
26359496,67,0.854146,Idle
26612987,67,0.854146,Idle
26866633,67,0.854146,Idle
27120053,67,0.854146,Idle
27373408,67,0.854146,Idle
27626638,67,0.854146,Idle
27880310,67,0.854146,Idle
28133363,67,0.854146,Idle
28386815,67,0.854146,Idle
28640257,67,0.854146,Idle
28894537,67,0.828778,Idle
29147609,67,0.871492,Idle
29400790,67,0.929499,Idle
29654155,87.9003,0.937299,Idle
29907762,87.9003,0.910892,Idle
30160779,89.7133,0.959789,Idle
30414222,89.7133,0.936789,Idle
30668046,102.932,0.961945,Idle
30921560,84.7993,1,Idle
31174918,84.7993,1,Idle
31428196,84.7993,0.955098,Idle
31681593,84.7993,0.879555,Idle
31935063,84.7993,0.836242,Idle
32188555,43.0734,1,Idle
32441644,43.0734,0.924999,Idle
32695019,80.4598,1,Idle
32948975,80.4598,1,Idle
33202516,80.4598,1,Idle
33455374,57.2524,0.971266,Idle
33708787,59.1428,1,Idle
33962960,59.1428,0.914781,Idle
34216140,63.5202,0.918313,Idle
34469910,63.5202,0.877203,Idle
34723148,71.148,1,Idle
34976688,71.148,1,Idle
35230015,71.148,1,Idle
35482833,88.2868,1,Idle
35736390,88.2868,1,Idle
35989665,88.2868,1,Idle
36243348,88.2868,1,Idle
36496555,88.2868,1,Idle
36749825,88.2868,1,Idle
37003801,59.529,1,Idle
37256810,59.529,0.992751,Idle
37510644,49.2618,0.852516,Idle
37764399,49.2618,0.969132,Idle
38017478,65.6661,0.859558,Idle
38270441,65.6661,0.838522,Idle
38524149,64.9895,0.835282,Idle
38777317,64.9895,0.823683,Idle
39030904,82.182,0.89817,Idle
39284123,82.182,0.827814,Idle
39537664,82.182,0.823232,Idle
39790959,65.9986,0.914457,Idle
40044739,65.9986,0.83226,Idle
40298069,65.9986,0.906775,Idle
40552020,65.9986,0.862311,Idle
40817117,65.9986,0.833233,Idle
41083706,39.6435,0.833368,Idle
41350188,39.6435,0.845783,Idle
41617160,68.8751,0.895674,Idle
