timestampUtc,sessionSeed,sampleRateHz,gainCh1,gainDbCh1,gainSpecCh1,delaySamplesCh1,delaySpecCh1,phaseDegCh1,gainCh2,gainDbCh2,gainSpecCh2,delaySamplesCh2,delaySpecCh2,phaseDegCh2,envelopeMean,envelopePeak,envelopeRatio,envelopeSpec
2025-10-29T11:04:05Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-10-29T11:09:59Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-10-29T11:11:16Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,0.162978,0.382158,2.344843,OK
2025-11-09T00:13:31Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-09T01:43:32Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-09T03:52:59Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-09T04:54:58Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-09T04:57:27Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-09T05:37:06Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-09T05:58:51Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-09T06:10:43Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-10T15:01:58Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-10T15:03:28Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-10T15:07:36Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-10T15:21:31Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-10T15:30:18Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-10T15:30:56Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,0.716986,2.280803,3.181099,OK
2025-11-10T16:09:56Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-10T16:12:27Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-10T16:13:44Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-10T16:15:27Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-10T16:16:04Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
2025-11-10T16:30:03Z,8048750167037162662,48000.000000,24.634037,27.830712,OK,98,OK,-72.051537,20.072598,26.052072,OK,147,OK,-104.260941,NA,NA,NA,NA
